model_id,conflict_type_idx,n,new_choice_rate,neither_rate,self_resolves_rate,asks_clarification_rate
Qwen/Qwen3.5-4B,1,100,0.35789473684210527,0.05,0.13,0.0
Qwen/Qwen3.5-4B,2,100,0.39325842696629215,0.11,0.08,0.0
Qwen/Qwen3.5-4B,3,100,0.10227272727272728,0.12,0.03,0.0
Qwen/Qwen3.5-4B,4,100,0.3626373626373626,0.09,0.08,0.01
Qwen/Qwen3.5-4B,5,100,0.5,0.16,0.02,0.01
Qwen/Qwen3.5-4B,6,100,0.5913978494623656,0.07,0.1,0.0
Qwen/Qwen3.5-4B,7,100,0.4666666666666667,0.1,0.09,0.04
Qwen/Qwen3.5-4B,8,94,0.7096774193548387,0.010638297872340425,0.574468085106383,0.0
Qwen/Qwen3.5-4B,9,70,0.9420289855072463,0.014285714285714285,0.2571428571428571,0.0
Qwen/Qwen3.5-9B,1,100,0.33695652173913043,0.08,0.17,0.0
Qwen/Qwen3.5-9B,2,100,0.47126436781609193,0.13,0.06,0.01
Qwen/Qwen3.5-9B,3,100,0.06666666666666667,0.1,0.04,0.0
Qwen/Qwen3.5-9B,4,100,0.3229166666666667,0.04,0.08,0.0
Qwen/Qwen3.5-9B,5,100,0.5056179775280899,0.11,0.01,0.04
Qwen/Qwen3.5-9B,6,100,0.5638297872340425,0.06,0.09,0.0
Qwen/Qwen3.5-9B,7,100,0.5578947368421052,0.05,0.17,0.01
Qwen/Qwen3.5-9B,8,94,0.7608695652173914,0.02127659574468085,0.5957446808510638,0.0
Qwen/Qwen3.5-9B,9,70,0.9130434782608695,0.014285714285714285,0.3,0.0
