conflict_type_idx,new_choice_rate,self_resolves_rate,model_id
1,0.35789473684210527,0.13,Qwen/Qwen3.5-4B
2,0.39325842696629215,0.08,Qwen/Qwen3.5-4B
3,0.10227272727272728,0.03,Qwen/Qwen3.5-4B
4,0.3626373626373626,0.08,Qwen/Qwen3.5-4B
5,0.5,0.02,Qwen/Qwen3.5-4B
6,0.5913978494623656,0.1,Qwen/Qwen3.5-4B
7,0.4666666666666667,0.09,Qwen/Qwen3.5-4B
8,0.7096774193548387,0.574468085106383,Qwen/Qwen3.5-4B
9,0.9420289855072463,0.2571428571428571,Qwen/Qwen3.5-4B
1,0.33695652173913043,0.17,Qwen/Qwen3.5-9B
2,0.47126436781609193,0.06,Qwen/Qwen3.5-9B
3,0.06666666666666667,0.04,Qwen/Qwen3.5-9B
4,0.3229166666666667,0.08,Qwen/Qwen3.5-9B
5,0.5056179775280899,0.01,Qwen/Qwen3.5-9B
6,0.5638297872340425,0.09,Qwen/Qwen3.5-9B
7,0.5578947368421052,0.17,Qwen/Qwen3.5-9B
8,0.7608695652173914,0.5957446808510638,Qwen/Qwen3.5-9B
9,0.9130434782608695,0.3,Qwen/Qwen3.5-9B
