model_id,layer,space,outcome_similarity,spearman_r,p_value,n_pairs
Qwen/Qwen3.5-4B,0,label_residualized,new_choice_rate,-0.12586872586872588,0.46448822095019704,36
Qwen/Qwen3.5-4B,0,label_residualized,self_resolves_rate,-0.18399703133235076,0.2827217243832967,36
Qwen/Qwen3.5-4B,0,raw,new_choice_rate,-0.10862290862290863,0.5282976942630376,36
Qwen/Qwen3.5-4B,0,raw,self_resolves_rate,-0.08761763396778607,0.6113609274314926,36
Qwen/Qwen3.5-4B,8,label_residualized,new_choice_rate,-0.19845559845559846,0.24592832224250555,36
Qwen/Qwen3.5-4B,8,label_residualized,self_resolves_rate,-0.18322393456204675,0.28478434841045125,36
Qwen/Qwen3.5-4B,8,raw,new_choice_rate,-0.2604890604890605,0.12493053998679254,36
Qwen/Qwen3.5-4B,8,raw,self_resolves_rate,-0.18000269801911345,0.2934830071499304,36
Qwen/Qwen3.5-4B,16,label_residualized,new_choice_rate,-0.004118404118404119,0.9809814977355094,36
Qwen/Qwen3.5-4B,16,label_residualized,self_resolves_rate,-0.017136978408405217,0.9209792712483567,36
Qwen/Qwen3.5-4B,16,raw,new_choice_rate,-0.09652509652509651,0.5754646078975395,36
Qwen/Qwen3.5-4B,16,raw,self_resolves_rate,-0.34956858963912296,0.03663290188198183,36
Qwen/Qwen3.5-4B,24,label_residualized,new_choice_rate,-0.08828828828828829,0.6086255147035171,36
Qwen/Qwen3.5-4B,24,label_residualized,self_resolves_rate,-0.14109016058047905,0.411770059433733,36
Qwen/Qwen3.5-4B,24,raw,new_choice_rate,-0.35933075933075936,0.03136873667950738,36
Qwen/Qwen3.5-4B,24,raw,self_resolves_rate,-0.4155395140383972,0.011722873916654341,36
Qwen/Qwen3.5-4B,31,label_residualized,new_choice_rate,-0.3176319176319176,0.059059866758157345,36
Qwen/Qwen3.5-4B,31,label_residualized,self_resolves_rate,-0.23579451494271841,0.16622097247602996,36
Qwen/Qwen3.5-4B,31,raw,new_choice_rate,-0.32715572715572716,0.05145917099684149,36
Qwen/Qwen3.5-4B,31,raw,self_resolves_rate,-0.3570418584187282,0.03254368488977638,36
Qwen/Qwen3.5-9B,0,label_residualized,new_choice_rate,-0.24658944658944662,0.1471091722779373,36
Qwen/Qwen3.5-9B,0,label_residualized,self_resolves_rate,-0.32090662782978463,0.05635206435364363,36
Qwen/Qwen3.5-9B,0,raw,new_choice_rate,0.023166023166023165,0.8933167335118672,36
Qwen/Qwen3.5-9B,0,raw,self_resolves_rate,-0.10752689977442623,0.5324920019660566,36
Qwen/Qwen3.5-9B,8,label_residualized,new_choice_rate,0.1812097812097812,0.2902036593643639,36
Qwen/Qwen3.5-9B,8,label_residualized,self_resolves_rate,0.10598160301120094,0.5384329003837622,36
Qwen/Qwen3.5-9B,8,raw,new_choice_rate,0.10990990990990991,0.5233930887934501,36
Qwen/Qwen3.5-9B,8,raw,self_resolves_rate,-0.08537764616819711,0.6205346457635379,36
Qwen/Qwen3.5-9B,16,label_residualized,new_choice_rate,0.24839124839124843,0.14408237122817905,36
Qwen/Qwen3.5-9B,16,label_residualized,self_resolves_rate,0.1337969447492561,0.43659398781769354,36
Qwen/Qwen3.5-9B,16,raw,new_choice_rate,0.13899613899613902,0.4188142963119317,36
Qwen/Qwen3.5-9B,16,raw,self_resolves_rate,0.25561783958351625,0.13239999045937353,36
Qwen/Qwen3.5-9B,24,label_residualized,new_choice_rate,-0.2836550836550837,0.09364034308608998,36
Qwen/Qwen3.5-9B,24,label_residualized,self_resolves_rate,0.02137660522461647,0.9015155110492943,36
Qwen/Qwen3.5-9B,24,raw,new_choice_rate,-0.14826254826254825,0.3881570944695374,36
Qwen/Qwen3.5-9B,24,raw,self_resolves_rate,-0.13611488989409404,0.4286165373273778,36
Qwen/Qwen3.5-9B,31,label_residualized,new_choice_rate,-0.34079794079794085,0.0419551188911899,36
Qwen/Qwen3.5-9B,31,label_residualized,self_resolves_rate,-0.17178549017854441,0.316435453215624,36
Qwen/Qwen3.5-9B,31,raw,new_choice_rate,-0.30090090090090094,0.07454146342994787,36
Qwen/Qwen3.5-9B,31,raw,self_resolves_rate,-0.20732731573272603,0.22501560419842603,36
