model_id,layer,rank,mean_overlap,median_overlap,shared_component_mean_overlap,nonshared_mean_overlap,shared_vs_nonshared_u,shared_vs_nonshared_p_value,random_k_over_d
Qwen/Qwen3.5-4B,24,1,0.0841668727527361,0.010703748327310362,0.27323296449778034,0.0211448421710547,163.0,0.06708514668680701,0.000390625
Qwen/Qwen3.5-4B,24,2,0.12811880932872913,0.11037318734741941,0.25683595741160015,0.0852130933011054,211.0,0.0005740966352152735,0.00078125
Qwen/Qwen3.5-4B,24,3,0.1284003183451588,0.11133583705934641,0.22075838672880646,0.09761429555060962,199.0,0.0024537060406491814,0.001171875
Qwen/Qwen3.5-4B,24,4,0.12114210888755543,0.10403725769580821,0.20116082455686302,0.09446920366445288,200.0,0.002188832909964697,0.0015625
Qwen/Qwen3.5-4B,24,5,0.1267617064416918,0.10818039427826379,0.20451567123315606,0.10084371817787037,207.0,0.0009503849659608206,0.001953125
Qwen/Qwen3.5-9B,24,1,0.0684382238754331,0.004539447550979179,0.2490719920947475,0.00822696780232828,163.0,0.06708514668680701,0.000244140625
Qwen/Qwen3.5-9B,24,2,0.07387597777417108,0.019139334392287956,0.20043266634297122,0.03169041491790439,178.0,0.020385365479814514,0.00048828125
Qwen/Qwen3.5-9B,24,3,0.07969251335333821,0.039979133592900604,0.19394269296324051,0.04160912015003744,180.0,0.017048602339181755,0.000732421875
Qwen/Qwen3.5-9B,24,4,0.08860663201139453,0.05429751294186198,0.17702105503006327,0.05913515767183829,177.0,0.022251553447414738,0.0009765625
Qwen/Qwen3.5-9B,24,5,0.09686933493402315,0.06281571633908797,0.17775503837618442,0.06990743378663605,188.0,0.007950387112335705,0.001220703125
