layer,n_total,n_label_1,n_label_2,n_label_3,n_label_4,n_label_minus1,full_label_silhouette,n_1_vs_3,n_1,n_3,silhouette_1_vs_3,centroid_separation_ratio_1_vs_3,knn_n_splits,knn_balanced_accuracy_mean,knn_balanced_accuracy_std
0,864,717,16,0,0,131,-0.016851198,717,717,0,,,0,,
1,864,717,16,0,0,131,-0.019291349,717,717,0,,,0,,
2,864,717,16,0,0,131,-0.017078046,717,717,0,,,0,,
3,864,717,16,0,0,131,-0.0014279024,717,717,0,,,0,,
4,864,717,16,0,0,131,-0.0052804896,717,717,0,,,0,,
5,864,717,16,0,0,131,-0.0048849946,717,717,0,,,0,,
6,864,717,16,0,0,131,-0.004977348,717,717,0,,,0,,
7,864,717,16,0,0,131,-0.00711751,717,717,0,,,0,,
8,864,717,16,0,0,131,-0.011139815,717,717,0,,,0,,
9,864,717,16,0,0,131,-0.012071568,717,717,0,,,0,,
10,864,717,16,0,0,131,-0.013636504,717,717,0,,,0,,
11,864,717,16,0,0,131,-0.009434168,717,717,0,,,0,,
12,864,717,16,0,0,131,-0.012236571,717,717,0,,,0,,
13,864,717,16,0,0,131,-0.0145317875,717,717,0,,,0,,
14,864,717,16,0,0,131,-0.016506838,717,717,0,,,0,,
15,864,717,16,0,0,131,-0.014449008,717,717,0,,,0,,
16,864,717,16,0,0,131,-0.01249399,717,717,0,,,0,,
17,864,717,16,0,0,131,-0.010498733,717,717,0,,,0,,
18,864,717,16,0,0,131,-0.0073612113,717,717,0,,,0,,
19,864,717,16,0,0,131,-0.009662994,717,717,0,,,0,,
20,864,717,16,0,0,131,-0.013311828,717,717,0,,,0,,
21,864,717,16,0,0,131,-0.016480232,717,717,0,,,0,,
22,864,717,16,0,0,131,-0.018008484,717,717,0,,,0,,
23,864,717,16,0,0,131,-0.020736894,717,717,0,,,0,,
24,864,717,16,0,0,131,-0.028442845,717,717,0,,,0,,
25,864,717,16,0,0,131,-0.0371193,717,717,0,,,0,,
26,864,717,16,0,0,131,-0.040550224,717,717,0,,,0,,
27,864,717,16,0,0,131,-0.05112341,717,717,0,,,0,,
28,864,717,16,0,0,131,-0.048167333,717,717,0,,,0,,
29,864,717,16,0,0,131,-0.052849177,717,717,0,,,0,,
30,864,717,16,0,0,131,-0.049516868,717,717,0,,,0,,
31,864,717,16,0,0,131,-0.04116961,717,717,0,,,0,,
