feature_group,classifier_model,name,n_folds,n_samples,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,feature_names
majority_baseline,majority_baseline,majority_baseline,5,782,0,0.5102319124612118,0.0026891220354022085,0.5,0.0,0.5,0.0,
raw_cos,logistic_l2,raw_cos__logistic_l2,5,782,64,0.6790625510370734,0.02637160755590926,0.6775423635325367,0.026302066350275575,0.7205847454510845,0.037786718348999285,"cos_org,cos_new"
raw_cos,linear_svm,raw_cos__linear_svm,5,782,64,0.6675322554303447,0.036985714818290084,0.6659766757226784,0.03678857727074312,0.7161756826617752,0.02730130706554744,"cos_org,cos_new"
raw_cos,rbf_svm,raw_cos__rbf_svm,5,782,64,0.6547280744732974,0.016379605215921415,0.6527568201285723,0.017252608819763312,0.7138071318255363,0.02282210098728955,"cos_org,cos_new"
raw_cos,random_forest,raw_cos__random_forest,5,782,64,0.6521884697043933,0.034785342828301084,0.6515212152937002,0.033517444539086214,0.720209092206927,0.02300169582283891,"cos_org,cos_new"
raw_cos,extra_trees,raw_cos__extra_trees,5,782,64,0.656034623550547,0.0113498593307828,0.6553648541664864,0.011672507853731594,0.7270294749387853,0.01638459580456316,"cos_org,cos_new"
raw_cos,gradient_boosting,raw_cos__gradient_boosting,5,782,64,0.6623958843704066,0.02002226680843281,0.6617121594261836,0.019615468577966793,0.7108631637349992,0.021323907349238183,"cos_org,cos_new"
centered_cos,logistic_l2,centered_cos__logistic_l2,5,782,64,0.6458517066797321,0.03784619090877859,0.6444857000095174,0.03762508356047507,0.7018631842840704,0.020379513700979974,"centered_cos_org,centered_cos_new"
centered_cos,linear_svm,centered_cos__linear_svm,5,782,64,0.6547199085415645,0.020847281464798938,0.653196364761155,0.021408548571989247,0.7034059328413093,0.01617785421123259,"centered_cos_org,centered_cos_new"
centered_cos,rbf_svm,centered_cos__rbf_svm,5,782,64,0.6495590396864281,0.031849489228085025,0.6469237715981553,0.03209302908378156,0.7042010304818432,0.019563747962411168,"centered_cos_org,centered_cos_new"
centered_cos,random_forest,centered_cos__random_forest,5,782,64,0.6329821982688224,0.0181064690510244,0.6319805411111207,0.018706530747353164,0.6960950491879873,0.04178056923919161,"centered_cos_org,centered_cos_new"
centered_cos,extra_trees,centered_cos__extra_trees,5,782,64,0.6483014861995754,0.026587498122762197,0.6474188852453343,0.027295085382598786,0.7177337997611982,0.029924902293365006,"centered_cos_org,centered_cos_new"
centered_cos,gradient_boosting,centered_cos__gradient_boosting,5,782,64,0.6279193205944797,0.015906466820893486,0.6269844021734429,0.01575120764386739,0.6713977802677004,0.027917616279542704,"centered_cos_org,centered_cos_new"
projection,logistic_l2,projection__logistic_l2,5,782,32,0.6521803037726606,0.032978820727981126,0.6518843390120872,0.032981329330040346,0.7011867250837105,0.04324228752453236,projection
projection,linear_svm,projection__linear_svm,5,782,32,0.6598072840111057,0.039457804102536354,0.6592514946745459,0.03883788513552959,0.703600992195679,0.039006177650105174,projection
projection,rbf_svm,projection__rbf_svm,5,782,32,0.636844683978442,0.02505109355468244,0.6354276045406957,0.024376617600962682,0.6873395387923203,0.04081375446866604,projection
projection,random_forest,projection__random_forest,5,782,32,0.65979095214764,0.04080518007031107,0.6587265416129506,0.04080940209578649,0.6869747603329381,0.049079276210425495,projection
projection,extra_trees,projection__extra_trees,5,782,32,0.6521313081822635,0.05083913109397216,0.650968445278905,0.0506229603189045,0.6876987149259801,0.043123320138814335,projection
projection,gradient_boosting,projection__gradient_boosting,5,782,32,0.6278866568675485,0.030597142523790786,0.6269040553051213,0.030423633155080523,0.667592384297914,0.04356303235696142,projection
normalized_projection,logistic_l2,normalized_projection__logistic_l2,5,782,32,0.6381267352604933,0.04786989746852306,0.6381564887477613,0.047978139950153015,0.677788806380162,0.049661392938428146,normalized_projection
normalized_projection,linear_svm,normalized_projection__linear_svm,5,782,32,0.647060264576188,0.05717490977357087,0.6471696141965961,0.05718409636705498,0.6795374620382948,0.04741913470583651,normalized_projection
normalized_projection,rbf_svm,normalized_projection__rbf_svm,5,782,32,0.6087293810223746,0.0316105817343383,0.609173646140668,0.03158813840995064,0.6495992985196016,0.05266277992852874,normalized_projection
normalized_projection,random_forest,normalized_projection__random_forest,5,782,32,0.5754777070063695,0.041506883573208926,0.5757919612033536,0.041868928971189746,0.6040367839189459,0.061341730242297325,normalized_projection
normalized_projection,extra_trees,normalized_projection__extra_trees,5,782,32,0.5869835048178997,0.03952034252133723,0.5869419953797037,0.039496572627474365,0.6182637332687299,0.06232437453560847,normalized_projection
normalized_projection,gradient_boosting,normalized_projection__gradient_boosting,5,782,32,0.58442756818553,0.04783906233938407,0.5841509880858649,0.04753453152670158,0.6073455034306133,0.04939701468423432,normalized_projection
all_geometry_no_delta,logistic_l2,all_geometry_no_delta__logistic_l2,5,782,192,0.6738690184550056,0.0274216164145539,0.6732266800487986,0.02778935967713942,0.7145438809192141,0.03838479128742269,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,linear_svm,all_geometry_no_delta__linear_svm,5,782,192,0.6636126081985954,0.031086381308470277,0.6630438365764816,0.03140761727524934,0.699108711075733,0.026470060962452656,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,rbf_svm,all_geometry_no_delta__rbf_svm,5,782,192,0.6547280744732974,0.016379605215921418,0.6537055599297438,0.015714922778138296,0.722711195782898,0.028999916151643858,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,random_forest,all_geometry_no_delta__random_forest,5,782,192,0.6534786869181773,0.02031048788431531,0.6530293116277461,0.019799610975164462,0.7216265563217595,0.013971394160761074,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,extra_trees,all_geometry_no_delta__extra_trees,5,782,192,0.667507757635146,0.01593823262959665,0.6669753822127239,0.016530049322975984,0.7318433652456803,0.008648681102349693,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,gradient_boosting,all_geometry_no_delta__gradient_boosting,5,782,192,0.6368201861832434,0.027455979789842714,0.636048662363619,0.026676855257068834,0.6871226433459945,0.03480848726177336,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
delta_only,logistic_l2,delta_only__logistic_l2,5,782,64,0.6496815286624205,0.033100780802411967,0.6490553916436662,0.032295213071979925,0.6970159449977071,0.030302798256303044,"cosine_delta,centered_cosine_delta"
delta_only,linear_svm,delta_only__linear_svm,5,782,64,0.6445941531928793,0.03946673457478072,0.6436081573323412,0.038899675773076126,0.6865611670141982,0.02890132097172029,"cosine_delta,centered_cosine_delta"
delta_only,rbf_svm,delta_only__rbf_svm,5,782,64,0.6470765964396538,0.01843372951010938,0.6425813526912794,0.018298580300795203,0.6881247512480856,0.022178702463806675,"cosine_delta,centered_cosine_delta"
delta_only,random_forest,delta_only__random_forest,5,782,64,0.6394087865425445,0.022342547338719085,0.6380383640343666,0.022723997788864386,0.6970163776097321,0.020123411442966234,"cosine_delta,centered_cosine_delta"
delta_only,extra_trees,delta_only__extra_trees,5,782,64,0.6496488649354891,0.012725314941300898,0.6484146824195125,0.012661913269443019,0.7095440107028216,0.008527857260560455,"cosine_delta,centered_cosine_delta"
delta_only,gradient_boosting,delta_only__gradient_boosting,5,782,64,0.6316838151233055,0.020152557482006214,0.6302726104674805,0.020818956939352054,0.6869285357380793,0.01216873362145101,"cosine_delta,centered_cosine_delta"
all_geometry_with_delta,logistic_l2,all_geometry_with_delta__logistic_l2,5,782,256,0.6700310305405848,0.021864836896204824,0.6696069611600924,0.02213163071802176,0.7109645193247791,0.03485265330094118,"cos_org,cos_new,cosine_delta,centered_cos_org,centered_cos_new,centered_cosine_delta,projection,normalized_projection"
all_geometry_with_delta,linear_svm,all_geometry_with_delta__linear_svm,5,782,256,0.6572431814470031,0.021850513595246222,0.6565332419079921,0.02199930714649591,0.6906589546363031,0.022511778482244806,"cos_org,cos_new,cosine_delta,centered_cos_org,centered_cos_new,centered_cosine_delta,projection,normalized_projection"
all_geometry_with_delta,rbf_svm,all_geometry_with_delta__rbf_svm,5,782,256,0.6560182916870814,0.011978039909642342,0.6549239468060255,0.010981387310362736,0.723168915528176,0.02853651077515841,"cos_org,cos_new,cosine_delta,centered_cos_org,centered_cos_new,centered_cosine_delta,projection,normalized_projection"
all_geometry_with_delta,random_forest,all_geometry_with_delta__random_forest,5,782,256,0.6611464968152866,0.019232013151476487,0.6604976985040276,0.01911774900139438,0.728670323680317,0.010445671927464473,"cos_org,cos_new,cosine_delta,centered_cos_org,centered_cos_new,centered_cosine_delta,projection,normalized_projection"
all_geometry_with_delta,extra_trees,all_geometry_with_delta__extra_trees,5,782,256,0.6828352114976318,0.021564786339417642,0.682154397068621,0.02186817092933229,0.7375056401792743,0.008745294149451131,"cos_org,cos_new,cosine_delta,centered_cos_org,centered_cos_new,centered_cosine_delta,projection,normalized_projection"
all_geometry_with_delta,gradient_boosting,all_geometry_with_delta__gradient_boosting,5,782,256,0.635546300832925,0.03454003791896806,0.6351383709561591,0.03396733028378917,0.7093876647170285,0.02944708228915254,"cos_org,cos_new,cosine_delta,centered_cos_org,centered_cos_new,centered_cosine_delta,projection,normalized_projection"
